Address,ROI,Win Rate,Upside Capture,Downside Capture,Frequency,Sharpe Ratio,Sortino Ratio,Median Volume,Median PnL,Sum PnL
0x0217442b17eb0dad82b55d966ac407f12fb8d10e,-0.096776145,46.91358025,46.91358025,51.85185185,81,-0.036827113,-0.071157704,2401.65501,-1.63856,-173.4959359
0x039ff24deaf979de1b99da3301a21547117e6999,-0.611276442,35.26011561,35.26011561,64.73988439,173,0.31204525,3.417492167,986.60949,-5.82388,815.5910195
0x04c9b48f4862e9c8f475f6fd4ee8411b6f4d80cb,-0.051465273,49.09090909,49.09090909,50.90909091,55,-0.038697258,-0.062000438,82502.80188,-41.14766355,3113.993257
0x0563abba4ad5b9b6110aebca1af5c3be9d0267a6,-0.667748167,2.158273381,2.158273381,97.84172662,139,-0.299548329,-1.453137521,1704.174405,-11.77925252,-1427.105347
0x0595457bf3282d2b50d7ed4c7fc5434d792329a3,-0.6766544,28.42105263,28.42105263,70.52631579,95,-0.167743769,-0.235365283,6425.822331,-36.80073513,-8906.470618
0x0b2570a823c0ec04b5d0f3367ef80e4ef9218b40,-0.492277723,27.41935484,27.41935484,72.58064516,62,-0.088488197,-0.232068252,9137.266312,-21.07780119,-1980.197456
0x0c599896cd30bf53507e136444feac8c3a2351cd,0.092102233,58.70967742,58.70967742,41.29032258,155,0.01154729,0.011524513,25350.46975,10.8276,-4104.83269
0x0c9075a7e09aae69b9e20839cb082af2dd6101d5,-0.404634973,22.09302326,22.09302326,77.3255814,172,-0.103495986,-0.161746414,2028.896752,-9.41953,-546.1355791
0x0d6d94bdf57798c9020246c91990f785ead32361,0.523451223,69.09090909,69.09090909,27.27272727,55,-0.0066981,-0.004268971,9712.333664,42.49423962,-1672.576954
0x0da9b5c67555cf67421c05129ba15c599448e942,-0.736415758,2.752293578,2.752293578,97.24770642,109,-0.237547278,-1.283723425,1603.177875,-12.0854831,-1118.07267
0x0e2381b14d4b313bd787465ab67782f4d4362947,-0.278386618,39.89071038,39.89071038,59.56284153,183,0.096882853,0.423072576,4601.75356,-5.144550816,1256.42152
0x0f3490708386dc3a1903d34819fa6d1cdcb9645d,-0.248860662,34.28571429,34.28571429,65.71428571,70,0.134954389,0.596663455,2393.80645,-2.822026935,-109.9156656
0x120ebfe81c44003cd5351731709e30f9681daf74,0.069918787,50.98039216,50.98039216,49.01960784,51,-0.063292117,-0.066381553,15641.50446,4.2592,-4060.920418
0x12efc677afc8b6ffb7efeee91ce2ec4abcb9552a,-0.277836717,20,20,80,120,0.015516677,0.057100328,2766.40758,-8.248514803,860.1080954
0x13b3a50f3947476eda74fe191344524e2d2d28e5,-0.207661216,37.44292237,37.44292237,62.10045662,219,0.198458706,0.583802907,544719.9296,-1307.74317,-118892.7037
0x146424a93270c188328ee5ab732cc586e8a9e535,-0.409625567,40,40,60,55,0.138407224,0.469933722,11240.65825,-41.43211124,9114.584949
0x14c0b1160c81ca4e4d473547b3638b3698f73a6c,0.345372549,71.58273381,71.58273381,28.05755396,278,0.019037763,0.015986027,2068.69739,7.7247,11.66214812
0x1501cf2e9afd2624a485e675427609a1932772ec,-0.56042001,35.07604563,35.07604563,64.82889734,1052,-0.138560367,-0.386494184,141300.6687,-610.4938177,-189203.0544
0x16c9bea4dcf770722d4e0c8a9feced092ea5d095,-0.722887903,2.158273381,2.158273381,97.84172662,139,-1.43626398,-1.797203458,1529.726426,-11.1086039,-1724.869278
0x17a7e2301e83b79d5e836c99dfb9e1886f6fd9e1,-0.475678141,17.96875,17.96875,82.03125,128,-0.180513889,-0.410342282,3936.033015,-15.24196907,47.48839744
0x17ec9d8fb1c40532101adf98af7a7e37a8aa6ebe,0.198411834,84.61538462,84.61538462,11.53846154,52,0.295493798,0.260328716,12571.5,16,-360.0787928
0x1825b9faf7c3ab0efbbd927cd1a8fe2c86c933fd,-0.134438775,42.5,42.5,57.5,80,-0.05152174,-0.069360053,16903.18764,-14.49474,-2697.442892
